ZIPファイル名,出力年月日・時刻,地番区域,地番,地番区域（筆界未定地構成地番）,地番（筆界未定地構成地番）
19425-0917-1.zip,202202141120,南都留郡山中湖村山中,1212-内2,,
19425-0917-1.zip,202202141120,南都留郡山中湖村山中,1212-3,,
19425-0917-1.zip,202202141120,南都留郡山中湖村山中,1212-4,,
19425-0917-1.zip,202202141120,南都留郡山中湖村山中,1212-5,,
19425-0917-1.zip,202202141120,南都留郡山中湖村山中,1212-6,,
19425-0917-1.zip,202202141120,南都留郡山中湖村山中,1212-内7,,
19425-0917-1.zip,202202141120,南都留郡山中湖村山中,1212-内8,,
19425-0917-1.zip,202202141120,南都留郡山中湖村山中,1212-内9,,
19425-0917-1.zip,202202141120,南都留郡山中湖村山中,1212-内10,,
19425-0917-1.zip,202202141120,南都留郡山中湖村山中,1212-内11,,
19425-0917-1.zip,202202141120,南都留郡山中湖村山中,1212-12W1,,
19425-0917-1.zip,202202141120,南都留郡山中湖村山中,1212-12W2,,
19425-0917-1.zip,202202141120,南都留郡山中湖村山中,1212-13W1,,
19425-0917-1.zip,202202141120,南都留郡山中湖村山中,1212-15,,
19425-0917-1.zip,202202141120,南都留郡山中湖村山中,1212-19W1,,
19425-0917-1.zip,202202141120,南都留郡山中湖村山中,1212-19W2,,
19425-0917-1.zip,202202141120,南都留郡山中湖村山中,1212-20,,
19425-0917-1.zip,202202141120,南都留郡山中湖村山中,1212-21W1,,
19425-0917-1.zip,202202141120,南都留郡山中湖村山中,1212-21W2,,
19425-0917-1.zip,202202141120,南都留郡山中湖村山中,1212-21W3,,
19425-0917-1.zip,202202141120,南都留郡山中湖村山中,1212-21W4,,
19425-0917-1.zip,202202141120,南都留郡山中湖村山中,1212-21W5,,
19425-0917-1.zip,202202141120,南都留郡山中湖村山中,1212-54,,
19425-0917-1.zip,202202141120,南都留郡山中湖村山中,1212-55,,
19425-0917-1.zip,202202141120,南都留郡山中湖村山中,1212-56,,
19425-0917-1.zip,202202141120,南都留郡山中湖村山中,1212-57,,
19425-0917-1.zip,202202141120,南都留郡山中湖村山中,1212-58,,
19425-0917-1.zip,202202141120,南都留郡山中湖村山中,1212-59,,
19425-0917-1.zip,202202141120,南都留郡山中湖村山中,1212-101,,
19425-0917-1.zip,202202141120,南都留郡山中湖村山中,1212-102,,
19425-0917-1.zip,202202141120,南都留郡山中湖村山中,1212-103,,
19425-0917-1.zip,202202141120,南都留郡山中湖村山中,1212-104,,
19425-0917-1.zip,202202141120,南都留郡山中湖村山中,1212-105,,
19425-0917-1.zip,202202141120,南都留郡山中湖村山中,1212-106,,
19425-0917-1.zip,202202141120,南都留郡山中湖村山中,1212-107,,
19425-0917-1.zip,202202141120,南都留郡山中湖村山中,1212-108,,
19425-0917-1.zip,202202141120,南都留郡山中湖村山中,1212-147,,
19425-0917-1.zip,202202141120,南都留郡山中湖村山中,1212-148,,
19425-0917-1.zip,202202141120,南都留郡山中湖村山中,1212-149,,
19425-0917-1.zip,202202141120,南都留郡山中湖村山中,1212-150,,
19425-0917-1.zip,202202141120,南都留郡山中湖村山中,1212-151,,
19425-0917-1.zip,202202141120,南都留郡山中湖村山中,1212-152,,
19425-0917-1.zip,202202141120,南都留郡山中湖村山中,1212-153,,
19425-0917-1.zip,202202141120,南都留郡山中湖村山中,1212-154,,
19425-0917-1.zip,202202141120,南都留郡山中湖村山中,1212-155,,
19425-0917-1.zip,202202141120,南都留郡山中湖村山中,1212-156,,
19425-0917-1.zip,202202141120,南都留郡山中湖村山中,1212-157,,
19425-0917-1.zip,202202141120,南都留郡山中湖村山中,1212-158,,
19425-0917-1.zip,202202141120,南都留郡山中湖村山中,1212-159,,
19425-0917-1.zip,202202141120,南都留郡山中湖村山中,1212-160,,
19425-0917-1.zip,202202141120,南都留郡山中湖村山中,1212-161,,
19425-0917-1.zip,202202141120,南都留郡山中湖村山中,1212-191,,
19425-0917-1.zip,202202141120,南都留郡山中湖村山中,1212-192,,
19425-0917-1.zip,202202141120,南都留郡山中湖村山中,1212-193,,
19425-0917-1.zip,202202141120,南都留郡山中湖村山中,1212-194,,
19425-0917-1.zip,202202141120,南都留郡山中湖村山中,1212-195,,
19425-0917-1.zip,202202141120,南都留郡山中湖村山中,1212-196,,
19425-0917-1.zip,202202141120,南都留郡山中湖村山中,1212-197,,
19425-0917-1.zip,202202141120,南都留郡山中湖村山中,1212-198,,
19425-0917-1.zip,202202141120,南都留郡山中湖村山中,1212-199,,
19425-0917-1.zip,202202141120,南都留郡山中湖村山中,1212-200,,
19425-0917-1.zip,202202141120,南都留郡山中湖村山中,1212-201,,
19425-0917-1.zip,202202141120,南都留郡山中湖村山中,1212-202,,
19425-0917-1.zip,202202141120,南都留郡山中湖村山中,1212-203,,
19425-0917-1.zip,202202141120,南都留郡山中湖村山中,1212-204,,
19425-0917-1.zip,202202141120,南都留郡山中湖村山中,1212-205,,
19425-0917-1.zip,202202141120,南都留郡山中湖村山中,1212-206,,
19425-0917-1.zip,202202141120,南都留郡山中湖村山中,1212-207,,
19425-0917-1.zip,202202141120,南都留郡山中湖村山中,1212-208,,
19425-0917-1.zip,202202141120,南都留郡山中湖村山中,1212-209,,
19425-0917-1.zip,202202141120,南都留郡山中湖村山中,1212-251,,
19425-0917-1.zip,202202141120,南都留郡山中湖村山中,1212-252,,
19425-0917-1.zip,202202141120,南都留郡山中湖村山中,1212-253,,
19425-0917-1.zip,202202141120,南都留郡山中湖村山中,1212-254,,
19425-0917-1.zip,202202141120,南都留郡山中湖村山中,1212-255,,
19425-0917-1.zip,202202141120,南都留郡山中湖村山中,1212-256,,
19425-0917-1.zip,202202141120,南都留郡山中湖村山中,1212-257,,
19425-0917-1.zip,202202141120,南都留郡山中湖村山中,1212-258,,
19425-0917-1.zip,202202141120,南都留郡山中湖村山中,1212-259,,
19425-0917-1.zip,202202141120,南都留郡山中湖村山中,1212-260,,
19425-0917-1.zip,202202141120,南都留郡山中湖村山中,1212-261,,
19425-0917-1.zip,202202141120,南都留郡山中湖村山中,1212-262,,
19425-0917-1.zip,202202141120,南都留郡山中湖村山中,1212-263,,
19425-0917-1.zip,202202141120,南都留郡山中湖村山中,1212-264,,
19425-0917-1.zip,202202141120,南都留郡山中湖村山中,1212-265,,
19425-0917-1.zip,202202141120,南都留郡山中湖村山中,1212-266,,
19425-0917-1.zip,202202141120,南都留郡山中湖村山中,1212-267,,
19425-0917-1.zip,202202141120,南都留郡山中湖村山中,1212-268,,
19425-0917-1.zip,202202141120,南都留郡山中湖村山中,1212-269,,
19425-0917-1.zip,202202141120,南都留郡山中湖村山中,1212-270,,
19425-0917-1.zip,202202141120,南都留郡山中湖村山中,1212-271,,
19425-0917-1.zip,202202141120,南都留郡山中湖村山中,1212-272,,
19425-0917-1.zip,202202141120,南都留郡山中湖村山中,1212-273,,
19425-0917-1.zip,202202141120,南都留郡山中湖村山中,1212-320,,
